Rural_Dentistry_Senior_Design_Fund.f;6928:2.7948318392467987E-4
1910.f;527:2.789442085963823E-4
Rite_Aid.f;3476:2.787724954864065E-4
WiFi.f;5619:2.786207302017443E-4
1912.f;534:2.7829583515030706E-4
Dos_Coyotes.f;1165:2.7795336132746193E-4
Trailer_Parks.f;10216:2.777447127902878E-4
The_THE_Controversy.f;8207:2.7769651836068415E-4
1970.f;715:2.756226889718636E-4
UC_San_Francisco.f;14160:2.751329234580004E-4
Reg_Sticker.f;19520:2.7490728819251674E-4
Regan.f;8343:2.744946346957716E-4
Jimmy_the_Carrot.f;16118:2.729196850367679E-4
Cookies%2C_Pastries%2C_and_Baked_Goods.f;4703:2.720192670148283E-4
Angel%27s_Courtyard.f;4683:2.7192075998392956E-4
Research_%26_Development.f;107:2.716818478819753E-4
El_Fuego.f;13220:2.715747958086527E-4
Cats.f;4565:2.710988936944799E-4
Specialty_Sandwiches.f;19521:2.708707529753042E-4
Don_Saylor.f;1004:2.7076357332209106E-4
Art_Building.f;5446:2.705816008204657E-4
Outside_Magazine_Article.f;11120:2.7045615197848527E-4
Yolo_County_Visitors_Bureau.f;5474:2.703771079333107E-4
Taqueria_Guadalajara.f;1657:2.699756098563401E-4
Thrift_Stores.f;6175:2.699598028512373E-4
1974.f;722:2.6919026386323886E-4
Grocery_Outlet.f;1244:2.6813457044718445E-4
1954.f;660:2.6761001912188744E-4
Taxi_Services.f;3118:2.664604653477454E-4
Bicycle_Rides.f;2098:2.664267961370751E-4
Train_Tracks.f;335:2.664216933222793E-4
Outdoor_Adventures.f;2118:2.649854229531077E-4
Davis_Conference_%26_Visitor%27s_Bureau.f;9559:2.6496872604098523E-4
Harper_Junior_High_School.f;966:2.64924863672197E-4
Internal_Affairs_Commission.f;2221:2.642351656674246E-4
The_People%27s_Republic_of_Davis.f;3189:2.64184341158012E-4
University_Airport.f;979:2.6393161957449877E-4
Lincoln_Highway.f;1491:2.6381493208533336E-4
Hutchison_Hall.f;4222:2.6363436351416924E-4
Summer_Entertainment.f;11123:2.6357014207133096E-4
1959.f;657:2.6283107427598965E-4
ASUCD_Elections.f;648:2.627959460563179E-4
NOW_Slate.f;2690:2.6232389906742925E-4
Department_of_Theatre_and_Dance.f;8819:2.6224264747056776E-4
Viticulture_and_Enology.f;575:2.6090991675278884E-4
Measures.f;13263:2.606316403822192E-4
T._Elliot_Weier_Redwood_Grove.f;2994:2.6059171040365616E-4
MU_Games_Area.f;2815:2.597022364555097E-4
Quad.f;3621:2.5933821052865345E-4
Davis_Community_Church.f;595:2.5893069966608363E-4
Sacramento_Bee.f;1295:2.589163438161881E-4
Sophia%27s.f;3730:2.5890787705940986E-4
1st_Street.f;912:2.584769835760154E-4
Residence_Halls.f;3022:2.584769175570286E-4
Geocaching.f;7854:2.556786587727398E-4
1911.f;532:2.5557799872315495E-4
Horses.f;3310:2.554370059936735E-4
Lower_Freeborn_Hall.f;8520:2.5445284546438503E-4
Maxwell_Kappes.f;2171:2.544178847844695E-4
In-N-Out.f;1960:2.5430293173553983E-4
Bicycle_Shops.f;2096:2.541185925894025E-4
1977.f;719:2.5359256022145063E-4
1989.f;770:2.5241269255706913E-4
Tap_Water.f;4867:2.5224918693103263E-4
Ethnic_Markets.f;66:2.5180359585984426E-4
CoHo.f;2013:2.5164847783433605E-4
Yolo_Federal_Credit_Union.f;965:2.512691109242416E-4
Lamar_Heystek.f;1003:2.5097355556635403E-4
Wells_Fargo.f;1093:2.508949477990106E-4
1978.f;718:2.507296213062184E-4
Arboretum_Gazebo.f;3001:2.5072315563828097E-4
Bike_Overpasses.f;5408:2.506390442908377E-4
1919.f;530:2.505316571918658E-4
Neighborhood_Associations.f;5398:2.5052065862298314E-4
Frat_Row.f;4220:2.4956912881660766E-4
Yolo_County_Sheriff_-_Coroner.f;8743:2.488567655382588E-4
Town_Art.f;106:2.484097964378512E-4
Faculty.f;5504:2.483327109378529E-4
Aggie_Pack.f;2276:2.4812002088352397E-4
Benches.f;1972:2.479970914637744E-4
Honeybees.f;4938:2.4735280127932593E-4
Water_Towers.f;1841:2.463628235518222E-4
Armadillo_Music.f;1656:2.4633603968379563E-4
UC_Merced.f;6288:2.4630562530590514E-4
1867.f;425:2.456829109871944E-4
Computer_Repair.f;150:2.4526828947854734E-4
Dollar_Tree.f;6453:2.44958163807638E-4
C_Street.f;915:2.4428669346698764E-4
Computers_and_Electronics.f;1897:2.4426542509426667E-4
Petco.f;7822:2.4341053674601827E-4
Davis_Bike_Collective.f;3175:2.4340111173569315E-4
Essence_of_Davis.f;3625:2.4231410970166248E-4
North_Hall.f;642:2.4209023181166509E-4
Covell.f;887:2.4190882389741054E-4
NOW.f;2570:2.4183870877619613E-4
Campus_Staff.f;2742:2.417535760389518E-4
The_Quad.f;615:2.41747704205209E-4
Fifth_Street.f;5794:2.4173286483098982E-4
Harmony_in_Our_Lives_Award.f;4728:2.4170492874469527E-4
The_People%27s_Vanguard_of_Davis.f;3176:2.4111627743828078E-4
Yolo_County_Animal_Shelter.f;5978:2.4105554994440892E-4
1968.f;681:2.4105194584947613E-4
1923.f;578:2.3986553946199636E-4
1985.f;765:2.397789321189975E-4
Cuarto.f;1067:2.3833971047838534E-4
1920.f;574:2.38082331412824E-4
Bars.f;5103:2.3723092308161384E-4
Brilliant_Red_Lights.f;5679:2.3689585060988273E-4
School_Board.f;3843:2.3688948097848634E-4
1955.f;659:2.3666702756279705E-4
Cal_Aggie_Alumni_Association.f;4280:2.3656528874924437E-4
Tercero_Residence_Halls.f;1126:2.364373504895744E-4
The_Lexington.f;999:2.360216649244727E-4
Arboretum_Bridges.f;2897:2.3601077135044422E-4
1980.f;759:2.3565300851866388E-4
Vegetarian_Options.f;195:2.3559013629529678E-4
BART.f;4458:2.3513890850336135E-4
